event,eventDescription
0x100000,OpenFileNoAccess
0x200000,OpenFileRead
0x40,OpenFileWrite
0x2,OpenDir
0x8,FileRead
0x1,FileWrite
0x80,CreateFile
0x20,CreateDir
0x10,DeleteFile
0x10000,DeleteDir
0x4,CloseModified
0x20000,CloseUnmodified
0x40000,CloseDir
0x40001,RenameFile
0x40002,RenameDir
0x40003,SetAclFile
0x40004,SetAclDir
0x40005,SetSecFile
0x40006,SetSecDir
0x00000001,EVENT_FILE_OPEN_NOACCESS
0x00000002,EVENT_FILE_OPEN_READ
0x00000004,EVENT_FILE_OPEN_WRITE
0x00000008,EVENT_FILE_CREATE
0x00000010,EVENT_FILE_RENAME
0x00000020,EVENT_FILE_DELETE
0x00000040,EVENT_FILE_CLOSE
0x00000080,EVENT_FILE_CLOSE_MODIFIED
0x00000100,EVENT_FILE_SET_ACL
0x00000200,EVENT_FILE_READ
0x00000400,EVENT_FILE_WRITE
0x00000800,EVENT_FILE_SET_SEC
0x00010000,EVENT_DIR_CREATE
0x00020000,EVENT_DIR_RENAME
0x00040000,EVENT_DIR_DELETE
0x00080000,EVENT_DIR_SET_ACL
0x00100000,EVENT_DIR_OPEN
0x00200000,EVENT_DIR_CLOSE
0x00400000,EVENT_DIR_SET_SEC
0x80000000,EVENT_ADMIN_RESYNC
